Plagdet Score,Recall,Precision,Granularity,epsilon,min_samples
0.002873441571258932,0.0019137284518141466,0.14192755265830706,1.4867986798679869,0.1,4
0.028449845318974945,0.04331377389586824,0.08056075054370726,2.9455844631733235,0.01,4
0.03322321930616986,0.36923126092691544,0.05731536079522165,6.9265755053507725,0.001,4
0.004357258865053841,0.003389791952804413,0.13450364942124735,1.8633017875920084,0.1,10
0.03369552688370252,0.08168416344981849,0.06980646627676687,3.7047394760082426,0.01,10
0.03353417296934078,0.5141865209439059,0.056041284919840104,7.07721494972491,0.001,10
0.046308092847588175,0.09657135648701923,0.085111143941655,2.8741127348643007,0.1,100
0.03598283068757446,0.35319985189307934,0.05733703879170407,5.689116490792468,0.01,100
0.047592969936977286,0.8616104324410568,0.04606520541065973,2.5740393626991565,0.001,100
0.051933313208640856,0.41452895088639274,0.06143572073235752,3.1714792899408284,0.1,1000
0.04758468825134233,0.7960391019860117,0.05533226027028131,3.5142478462557984,0.01,1000
0.07567999564197929,0.9101739377889561,0.039788869538783994,1.0103700884787365,0.001,1000
